
*** Voronoi Diagram Neighbours k = 751 ***
Seed	Neighbours
N751(383)	{ 355 360 382 83 47 214 }
N751(384)	{ 397 216 484 385 394 }
N751(385)	{ 218 386 96 216 484 217 384 }
N751(386)	{ 96 219 385 687 216 220 }
N751(387)	{ 257 216 688 398 687 }
N751(388)	{ 228 227 465 464 291 724 56 389 }
N751(389)	{ 228 229 226 724 463 388 }
N751(390)	{ 196 6 377 251 329 645 597 644 }
N751(391)	{ 251 646 330 597 686 242 322 }
N751(392)	{ 457 484 394 393 589 255 588 }
N751(393)	{ 187 484 217 588 392 95 }
N751(394)	{ 397 396 457 256 484 384 392 }
N751(395)	{ 371 370 457 256 255 }
N751(396)	{ 256 371 397 394 399 257 169 }
N751(397)	{ 384 216 394 257 396 }
N751(398)	{ 399 257 372 688 258 387 }
N751(399)	{ 257 396 398 169 372 }
N751(400)	{ 276 31 68 275 67 296 }
N751(401)	{ 276 68 485 69 91 }
N751(402)	{ 44 155 405 281 295 }
N751(403)	{ 44 280 281 655 654 22 }
N751(404)	{ 653 654 658 652 655 }
N751(405)	{ 402 295 3 654 281 653 }
N751(406)	{ 182 374 287 727 442 72 }
N751(407)	{ 563 564 659 661 562 660 }
N751(408)	{ 665 664 689 409 662 }
N751(409)	{ 408 689 705 664 690 }
N751(410)	{ 610 608 302 611 375 609 }
N751(411)	{ 377 564 300 563 611 446 609 }
N751(412)	{ 337 270 298 486 318 190 }
N751(413)	{ 320 417 490 637 612 534 }
N751(414)	{ 489 612 490 487 }
N751(415)	{ 320 490 416 747 725 693 }
N751(416)	{ 320 417 415 666 748 725 726 }
N751(417)	{ 320 534 413 666 241 416 }
N751(418)	{ 326 419 628 422 566 }
N751(419)	{ 420 326 566 491 418 }
N751(420)	{ 491 419 326 492 159 539 493 536 }
N751(421)	{ 493 494 495 691 492 496 }
N751(422)	{ 418 326 692 628 691 }
N751(423)	{ 335 334 333 471 336 122 }
N751(424)	{ 425 431 42 13 439 12 30 }
N751(425)	{ 424 30 426 13 17 }
N751(426)	{ 425 17 35 427 13 27 }
N751(427)	{ 426 27 429 13 497 50 428 }
N751(428)	{ 427 497 707 695 429 }
N751(429)	{ 427 13 430 707 428 706 }
N751(430)	{ 431 43 13 706 22 429 }
N751(431)	{ 430 424 13 510 43 42 }
N751(432)	{ 349 433 350 19 436 354 435 }
N751(433)	{ 432 19 350 715 434 714 }
N751(434)	{ 19 715 351 433 }
N751(435)	{ 19 351 352 436 432 353 }
N751(436)	{ 432 354 435 344 15 345 353 }
N751(437)	{ 90 69 54 440 703 616 70 }
N751(438)	{ 90 583 53 751 54 749 }
N751(439)	{ 424 515 12 30 751 514 750 }
N751(440)	{ 616 513 437 751 54 514 }
N751(441)	{ 239 142 144 18 713 145 712 }
N751(442)	{ 288 287 727 147 406 }
N751(443)	{ 152 295 3 613 153 444 }
N751(444)	{ 443 614 3 715 351 613 }
N751(445)	{ 99 178 568 179 567 }
N751(446)	{ 377 611 411 678 196 375 }
N751(447)	{ 63 62 86 450 593 592 448 }
N751(448)	{ 62 61 481 593 558 447 }
N751(449)	{ 593 576 744 483 203 }
N751(450)	{ 86 592 447 743 523 202 }
N751(451)	{ 260 170 219 261 218 96 }
N751(452)	{ 466 453 467 231 730 728 729 }
N751(453)	{ 231 467 452 702 466 230 }
N751(454)	{ 729 231 739 455 737 }
N751(455)	{ 475 630 474 729 456 739 454 11 }
N751(456)	{ 630 455 730 629 729 }
N751(457)	{ 256 395 394 255 392 }
N751(458)	{ 249 250 273 162 191 312 342 }
N751(459)	{ 272 192 273 598 274 569 }
N751(460)	{ 51 116 462 282 66 117 }
N751(461)	{ 71 285 594 224 282 }
N751(462)	{ 66 460 594 282 595 223 117 }
N751(463)	{ 225 226 595 289 724 118 389 }
N751(464)	{ 227 388 465 728 467 120 }
N751(465)	{ 119 291 388 467 464 294 }
N751(466)	{ 467 452 294 702 293 453 }
N751(467)	{ 453 465 294 466 728 452 464 }
N751(468)	{ 299 76 288 570 102 16 }
N751(469)	{ 323 634 741 740 721 748 470 726 }
N751(470)	{ 323 747 322 748 725 469 }
N751(471)	{ 233 311 336 191 188 122 423 }
N751(472)	{ 473 631 681 632 574 }
N751(473)	{ 574 349 474 631 472 630 }
N751(474)	{ 475 349 630 473 455 }
N751(475)	{ 350 36 349 11 455 474 }
N751(476)	{ 344 354 343 681 574 575 }
N751(477)	{ 647 359 718 717 358 }
N751(478)	{ 479 357 718 356 358 }
N751(479)	{ 10 357 478 480 158 358 }
N751(480)	{ 209 158 479 358 650 647 157 }
N751(481)	{ 61 9 558 176 448 }
N751(482)	{ 380 263 332 558 176 379 }
N751(483)	{ 576 379 744 378 449 }
N751(484)	{ 217 385 393 384 394 392 }
N751(485)	{ 401 69 90 511 91 53 }
N751(486)	{ 412 318 190 237 236 316 317 174 }
N751(487)	{ 489 414 636 163 612 488 }
N751(488)	{ 489 636 487 643 328 250 }
N751(489)	{ 487 488 414 328 693 646 490 }
N751(490)	{ 320 612 413 414 693 415 489 }
N751(491)	{ 326 325 159 420 566 248 419 }
N751(492)	{ 493 420 691 326 421 }
N751(493)	{ 492 421 494 539 538 420 }
N751(494)	{ 421 493 495 663 538 662 }
N751(495)	{ 496 421 160 560 662 494 561 }
N751(496)	{ 495 421 692 160 691 }
N751(497)	{ 427 50 498 695 508 428 }
N751(498)	{ 50 161 497 577 508 499 }
N751(499)	{ 161 544 309 498 578 577 500 }
N751(500)	{ 544 559 160 578 501 499 }
N751(501)	{ 559 500 579 578 502 }
N751(502)	{ 565 559 579 501 503 }
N751(503)	{ 565 502 579 581 580 504 }
N751(504)	{ 6 565 304 581 503 505 }
N751(505)	{ 6 121 581 506 504 }
N751(506)	{ 121 505 59 581 697 624 696 }
N751(507)	{ 508 582 695 709 708 696 }
N751(508)	{ 577 498 582 5 695 497 507 }
N751(509)	{ 200 154 199 510 21 41 }
N751(510)	{ 509 21 41 279 43 431 42 }
N751(511)	{ 91 143 485 92 583 53 146 }
N751(512)	{ 517 113 596 365 615 112 55 }
N751(513)	{ 514 112 616 440 615 }
N751(514)	{ 513 516 112 515 751 440 439 }
N751(515)	{ 439 516 112 514 12 }
N751(516)	{ 112 514 515 553 113 12 }
N751(517)	{ 365 364 512 556 113 114 }
N751(518)	{ 137 81 267 47 215 }
N751(519)	{ 139 88 166 520 52 140 }
N751(520)	{ 52 85 519 521 140 86 }
N751(521)	{ 520 140 523 86 522 }
