
***             Voronoi Diagram k = 7175         ***
index	sx	sy	ls	mi
      728	    390	    146	      4.12	        65
      729	    389	    152	      4.24	      73.5
      730	    383	    138	      9.43	        19
      731	    381	    236	      4.24	      96.5
      732	    379	    241	      3.87	       125
      733	    375	    243	      4.58	        69
      734	    372	    240	      3.16	       124
      735	    371	    235	         3	        87
      736	    377	    232	      3.87	        67
      737	    126	    293	      7.42	        19
      738	    121	    293	      7.62	        19
      739	    124	    273	      5.57	        93
      740	    315	    359	      6.16	        68
      741	    308	    364	         3	        82
      742	    306	    356	      5.92	        77
      743	    237	    340	         6	        19
      744	    229	    336	      3.16	        77
      745	    229	    328	      5.48	        20
      746	    241	    329	      4.36	        20
      747	    457	    392	      4.12	        86
      748	    469	    390	      8.83	        81
      749	    420	    444	      4.12	        82
      750	    416	    436	       4.9	        81
      751	    419	    439	      4.24	        16
      752	    391	    417	      5.39	        82
      753	    455	    604	      8.49	      50.5
      754	    451	    614	      4.47	        48
      755	    439	    626	      11.8	        19
      756	    436	    607	      7.81	        40
      757	    437	    602	      7.28	        50
      758	    445	    601	      6.93	      46.5
      759	    573	    681	      4.12	       115
      760	    565	    686	      2.45	      76.5
      761	    561	    682	      2.83	       104
      762	    561	    675	      4.12	        86
      763	    568	    673	      3.32	       137
      764	    396	    482	         9	        19
      765	    393	    497	      7.21	      49.5
      766	    385	    497	      8.31	        57
      767	    383	    491	      7.68	        45
      768	    388	    477	      10.1	        19
      769	    337	    519	      2.24	       136
      770	    326	    525	      3.32	        60
      771	    322	    519	      4.69	      18.5
      772	    317	    515	       8.6	        19
      773	    328	    512	         3	        13
      774	    333	    514	      3.46	        73
      775	    331	    553	      3.46	      77.5
      776	    301	    578	      29.2	        19
      777	    310	    563	      17.7	        19
      778	    312	    554	        10	        19
      779	    323	    545	      4.47	      67.5
      780	    361	    558	      3.32	       150
      781	    358	    561	      2.45	       120
      782	    353	    563	      2.83	        57
      783	    349	    556	      3.16	       104
      784	    354	    553	      3.16	       150
      785	    137	    437	      5.48	        73
      786	    125	    442	      10.3	        80
      787	    125	    429	      9.38	        81
      788	    106	    412	      4.12	        17
      789	    112	    306	      10.6	        19
      790	    105	    324	      6.71	        19
      791	     88	    313	      13.1	        19
      792	    717	    608	      6.63	        49
      793	    703	    603	      5.57	        57
      794	    746	    638	      21.6	        54
      795	    726	    632	      8.43	        22
      796	    723	    620	      4.58	        16
      797	    751	    619	      20.6	        53
      798	    622	    696	      7.48	       106
      799	    618	    701	      5.92	       102
      800	    610	    699	         5	        70
      801	    606	    693	      3.46	        95
      802	    608	    690	         4	        81
      803	    621	    690	      10.4	        71
      804	    615	    757	      19.5	        19
      805	    622	    715	      2.24	        95
      806	    629	    719	         3	        18
      807	    704	    727	      4.36	        99
      808	    693	    731	         3	        16
      809	    694	    710	      11.4	        79
      810	    110	    466	      7.28	        78
      811	    102	    469	       4.9	       116
      812	     94	    468	      3.32	       133
      813	     96	    465	         4	       102
