
***             Voronoi Diagram k = 2444         ***
index	sx	sy	ls	mi
      307	    418	    175	         5	  1.37e+09
      308	    413	    171	       4.8	  1.43e+09
      309	    415	    165	      4.36	  1.64e+09
      310	    419	    165	      4.24	  1.61e+09
      311	    413	    196	      5.48	  1.23e+09
      312	    418	    193	      5.83	  1.35e+09
      313	    414	    208	      5.92	  1.26e+09
      314	    409	    204	      5.92	  1.08e+09
      315	    409	    199	      6.56	  8.04e+08
      316	    343	    251	      5.39	  1.09e+09
      317	    338	    254	       4.9	  1.03e+09
      318	    333	    255	      5.57	  1.02e+09
      319	    337	    248	      6.48	  9.99e+08
      320	    329	    250	      6.16	  9.24e+08
      321	    307	    247	         5	  8.38e+08
      322	    301	    241	      3.61	  7.26e+08
      323	    304	    238	      3.87	  7.25e+08
      324	    308	    239	      4.58	  9.96e+08
      325	    422	    233	         6	  6.09e+08
      326	    417	    233	      4.47	  8.89e+08
      327	    409	    232	       6.4	     1e+09
      328	    365	    266	      4.36	   1.6e+09
      329	    363	    269	      3.87	  1.67e+09
      330	    358	    272	      3.87	  1.67e+09
      331	    354	    261	      2.83	  2.16e+09
      332	    360	    260	      3.16	  1.85e+09
      333	    385	    230	      3.74	  1.56e+09
      334	    382	    237	      4.12	  1.44e+09
      335	    377	    234	      4.24	  1.33e+09
      336	    374	    231	      4.24	  1.05e+09
      337	    383	    228	      3.61	   1.2e+09
      338	    318	    292	         3	  1.85e+09
      339	    311	    296	      3.74	  1.81e+09
      340	    307	    296	      3.87	   1.7e+09
      341	    303	    286	      4.58	  1.16e+09
      342	    310	    285	         4	  1.13e+09
      343	    309	    337	      3.46	  2.61e+09
      344	    300	    343	      4.12	  2.19e+09
      345	    296	    342	      3.61	  2.26e+09
      346	    301	    333	      3.74	  2.48e+09
      347	    305	    334	      4.12	  2.28e+09
      348	    281	    343	      3.87	   1.8e+09
      349	    278	    346	      3.74	  1.82e+09
      350	    272	    341	       4.9	  1.62e+09
      351	    277	    339	      4.24	  1.78e+09
      352	    264	    287	      3.74	  1.95e+09
      353	    262	    295	      3.74	  1.48e+09
      354	    257	    297	      4.47	  1.87e+09
      355	    253	    294	      4.24	  2.19e+09
      356	    260	    287	      3.16	  2.47e+09
      357	    295	    282	      3.74	  1.18e+09
      358	    286	    283	      4.36	  1.15e+09
      359	    282	    280	      4.36	  1.11e+09
      360	    286	    275	      4.24	  9.29e+08
      361	    291	    274	      5.39	  9.88e+08
      362	    228	    322	      4.24	  1.19e+09
      363	    225	    327	      4.24	  1.08e+09
      364	    221	    325	      3.74	  7.26e+08
      365	    221	    319	      4.24	  5.11e+08
      366	    226	    317	       4.8	  7.35e+08
      367	    329	    347	      4.24	  9.22e+08
      368	    324	    347	      4.58	  1.07e+09
      369	    318	    340	      3.16	  3.06e+09
      370	    323	    339	      3.46	  3.62e+09
      371	    328	    338	      3.16	  2.68e+09
      372	    337	    296	      3.87	  2.08e+09
      373	    333	    299	      3.74	  2.13e+09
      374	    326	    295	         3	  2.41e+09
      375	    333	    290	      3.32	  2.24e+09
      376	    336	    289	         3	  2.22e+09
      377	    349	    293	      3.32	  2.75e+09
      378	    347	    296	      3.61	  2.68e+09
      379	    341	    295	         3	  2.26e+09
      380	    340	    289	      3.32	  1.98e+09
      381	    349	    287	      2.65	  2.22e+09
      382	    238	    429	      7.28	  4.34e+08
      383	    239	    423	         6	  4.74e+08
      384	    284	    372	      4.58	  1.22e+09
      385	    280	    377	      4.36	  1.08e+09
      386	    274	    375	      4.69	  1.57e+09
      387	    280	    369	      4.47	  1.61e+09
      388	    310	    375	      6.24	  5.88e+08
      389	    299	    370	      4.36	  1.07e+09
      390	    303	    367	      4.69	  1.01e+09
      391	    261	    369	      5.39	  1.48e+09
      392	    257	    368	       4.8	  1.55e+09
      393	    253	    369	      4.58	  1.49e+09
      394	    256	    363	      5.92	  1.53e+09
      395	    238	    406	      7.28	   8.3e+08
      396	    240	    397	      5.74	  8.79e+08
      397	    249	    399	      5.29	  7.31e+08
      398	    215	    361	      6.93	  6.78e+08
      399	    203	    357	       6.4	  4.03e+08
      400	    464	    133	      4.24	   5.8e+08
      401	    462	    138	      3.46	  1.15e+09
      402	    453	    135	      3.87	  6.25e+08
      403	    456	    132	      4.12	  4.87e+08
      404	    460	    130	         4	  4.21e+08
      405	    451	    129	       4.9	  3.11e+08
      406	    448	    132	       5.1	     4e+08
      407	    437	    126	      9.85	  2.03e+08
      408	    433	    107	      28.1	  1.54e+08
      409	    448	    112	      15.7	  1.69e+08
      410	    469	    176	      6.24	  5.36e+08
      411	    471	    171	      6.16	  5.58e+08
      412	    390	    191	         9	  6.56e+08
      413	    381	    190	         7	  6.12e+08
      414	    379	    180	      4.69	  7.97e+08
      415	    383	    180	      3.61	  8.82e+08
      416	    384	    171	      4.58	  4.49e+08
      417	    382	    174	      3.74	  6.67e+08
      418	    378	    174	      4.12	  4.37e+08
      419	    369	    151	      22.2	  1.59e+08
      420	    380	    158	       8.6	     2e+08
      421	    383	    163	      5.66	  2.57e+08
      422	    394	    163	      3.46	   5.7e+08
      423	    392	    171	      3.46	  1.14e+09
      424	    388	    170	      3.74	  7.26e+08
      425	    388	    163	         5	  3.01e+08
      426	    399	    170	      3.61	  1.32e+09
      427	    395	    172	      2.45	  1.23e+09
      428	    395	    165	         3	  7.79e+08
      429	    398	    164	         4	  7.91e+08
      430	    344	    211	      6.16	  6.98e+08
      431	    338	    213	      4.47	  7.42e+08
      432	    339	    209	      4.47	  6.36e+08
      433	    324	    219	      4.12	  4.27e+08
      434	    319	    226	      3.74	   6.5e+08
      435	    308	    215	      8.72	  1.92e+08
      436	    312	    210	      10.8	  1.85e+08
      437	    409	    264	      8.37	  4.86e+08
      438	    403	    257	         4	  1.04e+09
      439	    402	    252	      4.69	  9.89e+08
      440	    405	    248	       4.8	  8.94e+08
      441	    404	    268	      7.35	  5.47e+08
      442	    394	    269	      3.61	  7.43e+08
      443	    392	    262	      2.65	  1.22e+09
      444	    398	    261	      3.74	  1.28e+09
      445	    390	    270	      2.65	  1.62e+09
      446	    383	    272	      3.16	   1.7e+09
      447	    381	    263	      4.24	  1.67e+09
      448	    385	    261	      3.74	  1.46e+09
      449	    384	    257	      4.24	   1.6e+09
      450	    379	    258	      4.12	  1.74e+09
      451	    376	    251	      3.87	  1.28e+09
      452	    402	    244	         5	     1e+09
      453	    399	    248	       4.8	  1.05e+09
      454	    396	    239	      5.48	  1.11e+09
      455	    306	    315	      3.46	  2.87e+09
      456	    296	    321	      4.47	  2.15e+09
      457	    295	    317	      4.24	  2.08e+09
      458	    295	    313	      4.36	  1.89e+09
      459	    298	    309	      4.58	  1.99e+09
      460	    292	    325	      4.24	  2.01e+09
      461	    288	    329	      4.12	  1.94e+09
      462	    283	    327	      4.36	  1.67e+09
      463	    284	    322	      4.69	  1.46e+09
      464	    290	    321	      4.69	  1.84e+09
      465	    280	    320	      4.24	  1.29e+09
      466	    279	    326	      4.58	  1.43e+09
      467	    274	    324	         4	  1.26e+09
      468	    273	    318	      5.83	  1.21e+09
      469	    283	    299	      4.12	  1.38e+09
      470	    282	    306	      3.46	  1.27e+09
      471	    275	    302	      4.47	  1.25e+09
      472	    279	    299	      4.12	  1.32e+09
      473	    295	    306	      4.47	  1.68e+09
      474	    292	    309	      4.69	  1.56e+09
      475	    286	    307	      4.47	  1.35e+09
      476	    287	    300	         4	  1.42e+09
      477	    291	    300	         4	   1.4e+09
      478	    348	    335	       5.2	  7.09e+08
      479	    349	    340	      6.56	  5.47e+08
      480	    343	    338	       4.8	  7.89e+08
      481	    337	    331	      4.47	  1.34e+09
      482	    341	    330	      4.47	  1.08e+09
      483	    339	    322	      3.74	  3.77e+09
      484	    338	    325	      4.24	  2.97e+09
      485	    335	    327	         4	  3.69e+09
      486	    329	    319	      3.46	   2.7e+09
      487	    335	    316	      4.36	   2.6e+09
      488	    349	    318	         4	  1.33e+09
      489	    343	    320	         4	  3.13e+09
      490	    340	    314	      4.69	  2.82e+09
      491	    343	    312	         4	  2.88e+09
      492	    347	    311	      3.32	  3.37e+09
      493	    362	    316	      4.58	  8.04e+08
      494	    355	    318	      3.87	  1.04e+09
      495	    351	    310	      3.74	  3.31e+09
      496	    360	    309	      3.46	  1.08e+09
      497	    375	    341	        19	  4.35e+08
      498	    360	    331	      8.19	  5.09e+08
      499	    355	    322	         4	  8.69e+08
      500	    360	    320	       4.8	  7.59e+08
