
*** Voronoi Diagram Neighbours k = 774 ***
Seed	Neighbours
N774(377)	{ 421 517 518 520 516 519 }
N774(378)	{ 379 380 310 772 381 385 }
N774(379)	{ 310 209 309 380 378 214 }
N774(380)	{ 379 378 214 475 471 381 }
N774(381)	{ 382 380 683 123 475 772 264 378 }
N774(382)	{ 381 264 383 624 123 623 }
N774(383)	{ 384 264 382 626 623 290 }
N774(384)	{ 383 416 290 264 773 415 772 }
N774(385)	{ 454 310 378 773 414 772 }
N774(386)	{ 46 59 19 292 58 387 295 181 }
N774(387)	{ 295 294 386 182 20 181 }
N774(388)	{ 352 391 354 763 288 50 }
N774(389)	{ 352 313 425 312 354 }
N774(390)	{ 425 61 671 312 486 }
N774(391)	{ 388 288 280 84 425 424 354 }
N774(392)	{ 523 524 525 526 528 527 522 }
N774(393)	{ 310 309 661 660 2 }
N774(394)	{ 454 568 455 2 760 662 453 }
N774(395)	{ 560 674 559 673 697 396 9 }
N774(396)	{ 673 395 698 82 697 }
N774(397)	{ 695 398 696 698 697 694 }
N774(398)	{ 695 14 696 397 399 }
N774(399)	{ 398 696 700 306 699 747 335 14 }
N774(400)	{ 751 532 754 750 752 }
N774(401)	{ 559 560 561 563 562 558 }
N774(402)	{ 305 304 160 719 403 718 }
N774(403)	{ 304 80 719 54 402 }
N774(404)	{ 53 80 405 54 81 }
N774(405)	{ 404 81 54 82 720 722 721 719 }
N774(406)	{ 407 411 284 137 481 154 283 }
N774(407)	{ 283 22 406 408 8 137 }
N774(408)	{ 407 409 137 676 216 8 }
N774(409)	{ 408 216 137 419 215 410 }
N774(410)	{ 411 137 419 155 409 }
N774(411)	{ 284 138 406 155 410 137 }
N774(412)	{ 451 494 452 450 }
N774(413)	{ 450 157 593 476 477 }
N774(414)	{ 455 289 454 773 415 385 }
N774(415)	{ 416 289 773 414 384 }
N774(416)	{ 415 384 290 569 289 267 }
N774(417)	{ 302 303 304 681 301 276 }
N774(418)	{ 374 419 468 467 422 }
N774(419)	{ 374 220 215 409 410 467 155 418 }
N774(420)	{ 220 421 219 374 }
N774(421)	{ 420 516 374 517 219 377 }
N774(422)	{ 468 418 374 521 516 4 }
N774(423)	{ 28 193 59 194 749 208 45 }
N774(424)	{ 391 425 485 84 426 }
N774(425)	{ 390 312 389 354 391 426 61 424 }
N774(426)	{ 425 424 486 61 487 485 5 }
N774(427)	{ 118 505 170 349 534 428 122 }
N774(428)	{ 427 534 170 736 735 537 }
N774(429)	{ 564 103 742 430 741 }
N774(430)	{ 566 564 429 743 565 742 }
N774(431)	{ 224 223 104 567 566 432 }
N774(432)	{ 102 107 222 223 567 103 431 }
N774(433)	{ 488 273 551 298 297 }
N774(434)	{ 255 436 257 740 488 299 }
N774(435)	{ 273 299 551 298 615 256 436 }
N774(436)	{ 299 434 435 622 257 615 }
N774(437)	{ 57 248 11 438 553 183 442 }
N774(438)	{ 11 439 318 442 437 324 }
N774(439)	{ 117 321 318 323 324 438 }
N774(440)	{ 324 441 744 323 555 }
N774(441)	{ 324 442 555 554 440 }
N774(442)	{ 438 324 437 554 553 441 }
N774(443)	{ 444 702 523 701 }
N774(444)	{ 523 701 443 524 758 757 658 }
N774(445)	{ 526 446 453 761 525 760 }
N774(446)	{ 445 527 526 447 571 453 457 }
N774(447)	{ 457 527 446 448 }
N774(448)	{ 128 457 100 447 527 528 753 533 255 }
N774(449)	{ 490 491 492 493 495 494 489 }
N774(450)	{ 476 413 451 157 494 412 493 }
N774(451)	{ 452 412 476 270 450 }
N774(452)	{ 451 270 412 495 269 494 }
N774(453)	{ 571 568 446 760 445 394 }
N774(454)	{ 385 2 310 455 414 394 }
N774(455)	{ 414 454 289 568 456 394 }
N774(456)	{ 455 289 571 568 569 }
N774(457)	{ 448 447 100 77 571 446 570 }
N774(458)	{ 122 62 459 121 120 }
N774(459)	{ 458 764 120 766 121 5 }
N774(460)	{ 536 535 70 766 121 765 }
N774(461)	{ 198 462 150 463 149 199 }
N774(462)	{ 150 461 602 133 149 }
N774(463)	{ 461 1 110 199 602 149 601 148 }
N774(464)	{ 465 176 156 509 470 508 }
N774(465)	{ 464 156 466 176 175 }
N774(466)	{ 465 467 176 155 707 138 175 }
N774(467)	{ 466 155 419 468 176 418 }
N774(468)	{ 467 422 418 469 176 4 }
N774(469)	{ 468 176 470 510 653 652 4 }
N774(470)	{ 176 464 510 469 509 }
N774(471)	{ 214 472 233 475 232 380 }
N774(472)	{ 471 234 63 233 213 474 473 232 }
N774(473)	{ 213 472 682 474 235 }
N774(474)	{ 472 232 473 683 682 475 }
N774(475)	{ 232 471 380 683 381 474 }
N774(476)	{ 270 450 451 271 413 596 478 593 }
N774(477)	{ 157 413 593 596 671 597 765 486 }
N774(478)	{ 271 476 596 670 597 595 }
N774(479)	{ 338 139 480 22 483 282 339 }
N774(480)	{ 479 22 481 282 283 }
N774(481)	{ 154 406 282 283 480 }
N774(482)	{ 154 282 706 285 483 }
N774(483)	{ 282 339 479 706 482 340 }
N774(484)	{ 538 360 29 539 359 27 }
N774(485)	{ 84 424 487 85 426 }
N774(486)	{ 61 426 671 390 477 766 5 765 }
N774(487)	{ 485 85 426 764 86 5 }
N774(488)	{ 433 297 236 740 273 434 }
N774(489)	{ 490 218 495 142 449 }
N774(490)	{ 489 218 491 449 141 }
N774(491)	{ 490 492 449 678 141 6 }
N774(492)	{ 491 6 493 449 157 }
N774(493)	{ 492 157 494 450 449 }
N774(494)	{ 412 450 493 495 452 449 }
N774(495)	{ 452 494 489 449 565 142 269 }
N774(496)	{ 24 497 732 731 501 }
